Designation;Bore diameter(d);Outside diameter(D);Width(E);type;Image
   IR 6X9X16 ;6;9;16;Composants des roulements à aiguilles;
   IR 7X10X10.5 ;7;10;  10.5;Composants des roulements à aiguilles;
   IR 7X10X12 ;7;10;12;Composants des roulements à aiguilles;
   IR 7X10X16 ;7;10;16;Composants des roulements à aiguilles;
   LR 7X10X10.5 ;7;10;  10.5;Composants des roulements à aiguilles;
   IR 8X12X10 ;8;12;10;Composants des roulements à aiguilles;
   IR 8X12X10 IS1 ;8;12;10;Composants des roulements à aiguilles;
   IR 8X12X10.5 ;8;12;  10.5;Composants des roulements à aiguilles;
   IR 8X12X12.5 ;8;12;  12.5;Composants des roulements à aiguilles;
   LR 8X12X10.5 ;8;12;  10.5;Composants des roulements à aiguilles;
   IR 9X12X12 ;9;12;12;Composants des roulements à aiguilles;
   IR 9X12X16 ;9;12;16;Composants des roulements à aiguilles;
   IR 10X13X12.5 ;10;13;  12.5;Composants des roulements à aiguilles;
   IR 10X14X12 IS1 ;10;14;12;Composants des roulements à aiguilles;
   IR 10X14X13 ;10;14;13;Composants des roulements à aiguilles;
   IR 10X14X16 ;10;14;16;Composants des roulements à aiguilles;
   IR 10X14X20 ;10;14;20;Composants des roulements à aiguilles;
   LR 10X13X12.5 ;10;13;  12.5;Composants des roulements à aiguilles;
   IR 12X15X12 ;12;15;12;Composants des roulements à aiguilles;
   IR 12X15X12.5 ;12;15;  12.5;Composants des roulements à aiguilles;
   IR 12X15X16 ;12;15;16;Composants des roulements à aiguilles;
   IR 12X15X16.5 ;12;15;  16.5;Composants des roulements à aiguilles;
   IR 12X15X22.5 ;12;15;  22.5;Composants des roulements à aiguilles;
   IR 12X16X12 IS1 ;12;16;12;Composants des roulements à aiguilles;
   IR 12X16X13 ;12;16;13;Composants des roulements à aiguilles;
